Organization legal name or 'doing business as' name,Group PAC ID, State,Measure Identifier,Measure Title,Measure Performance Rate,Footnote
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_5,Health promotion and education.,64,
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_8,Courteous and helpful office staff.,,8
W A FOOTE MEMORIAL HOSPITAL INC,0244136067,MI,CAHPS_GRP_9,Clinicians working together for your care.,,8
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",51,
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_10,Between visit communication.,63,
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_12,Attention to patient medication cost.,27,
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_2,How well clinicians communicate.,,8
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_3,Patients' rating of clinicians.,,8
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_5,Health promotion and education.,64,
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_8,Courteous and helpful office staff.,,8
LOUISIANA STATE UNIVERSITY SCHOOL OF MEDICINE IN NEW ORLEANS FACULTY G,0244136448,LA,CAHPS_GRP_9,Clinicians working together for your care.,73,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",53,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_10,Between visit communication.,53,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_12,Attention to patient medication cost.,21,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_2,How well clinicians communicate.,79,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_3,Patients' rating of clinicians.,78,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_5,Health promotion and education.,63,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_8,Courteous and helpful office staff.,81,
"NETWORK HEALTH SYSTEM, INC.",0244142420,WI,CAHPS_GRP_9,Clinicians working together for your care.,73,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_1,"Getting timely care, appointments, and information.",65,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_10,Between visit communication.,56,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_12,Attention to patient medication cost.,34,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_2,How well clinicians communicate.,82,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_3,Patients' rating of clinicians.,80,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_5,Health promotion and education.,60,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_8,Courteous and helpful office staff.,78,
EAST CAROLINA UNIVERSITY,0244143246,NC,CAHPS_GRP_9,Clinicians working together for your care.,77,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_1,"Getting timely care, appointments, and information.",66,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_10,Between visit communication.,63,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_12,Attention to patient medication cost.,27,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_2,How well clinicians communicate.,80,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_3,Patients' rating of clinicians.,78,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_5,Health promotion and education.,63,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_8,Courteous and helpful office staff.,90,
SANFORD CLINIC,0244143824,SD,CAHPS_GRP_9,Clinicians working together for your care.,79,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_10,Between visit communication.,65,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_12,Attention to patient medication cost.,27,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_2,How well clinicians communicate.,85,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_3,Patients' rating of clinicians.,81,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_5,Health promotion and education.,65,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_8,Courteous and helpful office staff.,84,
COVENANT MEDICAL CENTER INC,0244148732,IA,CAHPS_GRP_9,Clinicians working together for your care.,72,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",69,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_10,Between visit communication.,58,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_12,Attention to patient medication cost.,25,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_2,How well clinicians communicate.,85,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_3,Patients' rating of clinicians.,85,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_5,Health promotion and education.,62,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_8,Courteous and helpful office staff.,85,
"THE CHRIST HOSPITAL MEDICAL ASSOCIATES, LLC",0244314102,OH,CAHPS_GRP_9,Clinicians working together for your care.,78,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_10,Between visit communication.,43,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_12,Attention to patient medication cost.,24,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_2,How well clinicians communicate.,85,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_3,Patients' rating of clinicians.,80,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_5,Health promotion and education.,61,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_8,Courteous and helpful office staff.,81,
LANDM PHYSICIAN ASSOCIATION INC,0244373330,CT,CAHPS_GRP_9,Clinicians working together for your care.,76,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_10,Between visit communication.,41,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_12,Attention to patient medication cost.,31,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_2,How well clinicians communicate.,83,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_3,Patients' rating of clinicians.,79,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_5,Health promotion and education.,57,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_8,Courteous and helpful office staff.,76,
"UNITY HEALTH NETWORK, LLC",0244379717,OH,CAHPS_GRP_9,Clinicians working together for your care.,75,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",65,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_10,Between visit communication.,68,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_12,Attention to patient medication cost.,27,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_2,How well clinicians communicate.,85,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_3,Patients' rating of clinicians.,85,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_5,Health promotion and education.,63,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_8,Courteous and helpful office staff.,83,
SUTTER WEST BAY MEDICAL FOUNDATION,0345145025,CA,CAHPS_GRP_9,Clinicians working together for your care.,77,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_10,Between visit communication.,50,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_12,Attention to patient medication cost.,25,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_2,How well clinicians communicate.,82,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_3,Patients' rating of clinicians.,80,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_5,Health promotion and education.,61,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_8,Courteous and helpful office staff.,82,
FLORIDA CLINICAL PRACTICE ASSOCIATION INC,0345146254,FL,CAHPS_GRP_9,Clinicians working together for your care.,74,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",54,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_10,Between visit communication.,57,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_12,Attention to patient medication cost.,30,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_2,How well clinicians communicate.,83,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_3,Patients' rating of clinicians.,80,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_5,Health promotion and education.,63,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_8,Courteous and helpful office staff.,86,
"MAYO CLINIC HEALTH SYSTEM - FRANCISCAN MEDICAL CENTER, INC.",0345152443,WI,CAHPS_GRP_9,Clinicians working together for your care.,75,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_10,Between visit communication.,56,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_12,Attention to patient medication cost.,29,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_2,How well clinicians communicate.,81,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_3,Patients' rating of clinicians.,80,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_5,Health promotion and education.,57,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_8,Courteous and helpful office staff.,80,
AVERA MCKENNAN,0345157103,SD,CAHPS_GRP_9,Clinicians working together for your care.,75,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_1,"Getting timely care, appointments, and information.",59,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_10,Between visit communication.,67,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_12,Attention to patient medication cost.,25,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_2,How well clinicians communicate.,83,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_3,Patients' rating of clinicians.,78,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_5,Health promotion and education.,64,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_8,Courteous and helpful office staff.,72,
TENET FLORIDA PHYSICIAN SERVICES LLC,0345349478,FL,CAHPS_GRP_9,Clinicians working together for your care.,76,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",53,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_10,Between visit communication.,59,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_12,Attention to patient medication cost.,26,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_2,How well clinicians communicate.,79,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_3,Patients' rating of clinicians.,76,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_5,Health promotion and education.,61,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_8,Courteous and helpful office staff.,79,
COMMUNITY FOUNDATION MEDICAL GROUP,0345406294,CA,CAHPS_GRP_9,Clinicians working together for your care.,69,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",63,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_10,Between visit communication.,60,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_12,Attention to patient medication cost.,37,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_2,How well clinicians communicate.,88,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_3,Patients' rating of clinicians.,86,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_5,Health promotion and education.,59,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_8,Courteous and helpful office staff.,87,
"HARBIN CLINIC, LLC",0446154231,GA,CAHPS_GRP_9,Clinicians working together for your care.,81,
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,8
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_10,Between visit communication.,,8
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_12,Attention to patient medication cost.,,8
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_2,How well clinicians communicate.,79,
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_3,Patients' rating of clinicians.,83,
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_5,Health promotion and education.,,8
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_8,Courteous and helpful office staff.,82,
"CHARLOTTE EYE EAR NOSE AND THROAT ASSOCIATES, P.A.",0446155451,NC,CAHPS_GRP_9,Clinicians working together for your care.,75,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",53,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_10,Between visit communication.,49,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_12,Attention to patient medication cost.,28,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_2,How well clinicians communicate.,79,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_3,Patients' rating of clinicians.,78,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_5,Health promotion and education.,58,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_8,Courteous and helpful office staff.,75,
USC CARE MEDICAL GROUP INC,0446157747,CA,CAHPS_GRP_9,Clinicians working together for your care.,74,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",68,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_10,Between visit communication.,56,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_12,Attention to patient medication cost.,27,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_2,How well clinicians communicate.,86,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_3,Patients' rating of clinicians.,84,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_5,Health promotion and education.,67,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_8,Courteous and helpful office staff.,82,
"UNIVERSITY MEDICINE FOUNDATION, INC.",0446159776,RI,CAHPS_GRP_9,Clinicians working together for your care.,76,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",52,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_10,Between visit communication.,63,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_12,Attention to patient medication cost.,28,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_2,How well clinicians communicate.,86,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_3,Patients' rating of clinicians.,82,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_5,Health promotion and education.,63,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_8,Courteous and helpful office staff.,80,
ASSOCIATION OF UNIVERSITY PHYSICIANS,0446162697,WA,CAHPS_GRP_9,Clinicians working together for your care.,78,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_1,"Getting timely care, appointments, and information.",64,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_10,Between visit communication.,55,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_12,Attention to patient medication cost.,29,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_2,How well clinicians communicate.,81,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_3,Patients' rating of clinicians.,82,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_5,Health promotion and education.,53,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_8,Courteous and helpful office staff.,80,
SALINA REGIONAL HEALTH CENTER INC,0446168215,KS,CAHPS_GRP_9,Clinicians working together for your care.,78,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_1,"Getting timely care, appointments, and information.",61,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_10,Between visit communication.,63,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_12,Attention to patient medication cost.,39,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_2,How well clinicians communicate.,88,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_3,Patients' rating of clinicians.,87,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_5,Health promotion and education.,61,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_8,Courteous and helpful office staff.,83,
ST. DOMINIC MEDICAL ASSOCIATES LLC,0446303168,MS,CAHPS_GRP_9,Clinicians working together for your care.,81,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_1,"Getting timely care, appointments, and information.",55,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_10,Between visit communication.,52,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_12,Attention to patient medication cost.,20,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_2,How well clinicians communicate.,74,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_3,Patients' rating of clinicians.,71,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_5,Health promotion and education.,48,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_8,Courteous and helpful office staff.,75,
"BEAVER MEDICAL GROUP, L.P.",0547164295,CA,CAHPS_GRP_9,Clinicians working together for your care.,66,
HENRY FORD MEDICAL GROUP,0547178311,MI,CAHPS_GRP_1,"Getting timely care, appointments, and information.",,8
HENRY FORD MEDICAL GROUP,0547178311,MI,CAHPS_GRP_10,Between visit communication.,,8
HENRY FORD MEDICAL GROUP,0547178311,MI,CAHPS_GRP_12,Attention to patient medication cost.,18,
HENRY FORD MEDICAL GROUP,0547178311,MI,CAHPS_GRP_2,How well clinicians communicate.,,8
HENRY FORD MEDICAL GROUP,0547178311,MI,CAHPS_GRP_3,Patients' rating of clinicians.,,8
HENRY FORD MEDICAL GROUP,0547178311,MI,CAHPS_GRP_5,Health promotion and education.,60,
