Organization legal name or 'doing business as' name,Group PAC ID,State,Participating in PQRS,Measure Identifier,Measure Title,Inverse Measure,Measure Performance Rate,Footnote,Reporting Mechanism,Reported on PC Live Site
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,88,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,40,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,56,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,13,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,92,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,96,,WI,Y
WESTERN AR ANESTHESIOLOGY,0648179291,AR,Y,PQRS_GRP_193_1,Perioperative Temperature Management,N,100,,REG,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,83,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,41,,WI,Y
MAYO CLINIC HEALTH SYSTEM-OWATONNA,0042111981,MN,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,78,,WI,Y
"FRANKLIN MEDICAL GROUP, PC",0042124174,CT,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,26,,REG,Y
"FRANKLIN MEDICAL GROUP, PC",0042124174,CT,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,0,,REG,N
"FRANKLIN MEDICAL GROUP, PC",0042124174,CT,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,0,,REG,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_110_1,Preventive Care and Screening: Influenza Immunization,N,53,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_111_1,Pneumonia Vaccination Status for Older Adults,N,76,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_112_1,Breast Cancer Screening,N,73,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_113_1,Colorectal Cancer Screening,N,58,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_117_1,Diabetes: Eye Exam,N,55,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_118_1,Coronary Artery Disease (CAD): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy -- Diabetes or Left Ventricular Systolic Dysfunction (LVEF < 40%),N,88,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_128_1,Preventive Care and Screening: Body Mass Index (BMI) Screening and Follow-Up Plan,N,63,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_130_1,Documentation of Current Medications in the Medical Record,N,59,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_134_1,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,48,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_204_1,Ischemic Vascular Disease (IVD): Use of Aspirin or Another Antithrombotic,N,81,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_226_1,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,97,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_317_1,Preventive Care and Screening: Screening for High Blood Pressure and Follow-Up Documented,N,84,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_318_1,Falls: Screening for Fall Risk,N,79,,WI,Y
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,0042128548,TX,Y,PQRS_GRP_8_1,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),N,98,,WI,Y
HIGH DESERT PHYSICAL THERAPY AND SPORTS REHABILATION PLLC,0042205528,AZ,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,99,,REG,Y
HIGH DESERT PHYSICAL THERAPY AND SPORTS REHABILATION PLLC,0042205528,AZ,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,86,,REG,Y
HIGH DESERT PHYSICAL THERAPY AND SPORTS REHABILATION PLLC,0042205528,AZ,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,95,,REG,Y
HIGH DESERT PHYSICAL THERAPY AND SPORTS REHABILATION PLLC,0042205528,AZ,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,89,,REG,Y
UPPER BUCKS ORTHOPAEDIC ASSOCIATION,0042205536,PA,Y,PQRS_GRP_21_1,Perioperative Care: Selection of Prophylactic Antibiotic  First OR Second Generation Cephalosporin,N,67,,REG,Y
UPPER BUCKS ORTHOPAEDIC ASSOCIATION,0042205536,PA,Y,PQRS_GRP_22_1,Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N,67,,REG,Y
UPPER BUCKS ORTHOPAEDIC ASSOCIATION,0042205536,PA,Y,PQRS_GRP_23_1,Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N,67,,REG,Y
SIDNEY P SMITH MD PC,0042206807,SC,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
SIDNEY P SMITH MD PC,0042206807,SC,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,87,,REG,Y
SIDNEY P SMITH MD PC,0042206807,SC,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,83,,REG,Y
SIDNEY P SMITH MD PC,0042206807,SC,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
SIDNEY P SMITH MD PC,0042206807,SC,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,,REG,Y
SIDNEY P SMITH MD PC,0042206807,SC,Y,PQRS_GRP_337_1,"Tuberculosis Prevention for Psoriasis, Psoriatic Arthritis and Rheumatoid Arthritis Patients on a Biological Immune Response Modifier",N,97,,REG,Y
"RADIATION THERAPY ASSOCIATES OF WESTERN NORTH CAROLINA, PA",0042246050,NC,Y,PQRS_GRP_102_1,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,N,50,,REG,Y
"RADIATION THERAPY ASSOCIATES OF WESTERN NORTH CAROLINA, PA",0042246050,NC,Y,PQRS_GRP_143_1,Oncology: Medical and Radiation  Pain Intensity Quantified,N,69,,REG,Y
"RADIATION THERAPY ASSOCIATES OF WESTERN NORTH CAROLINA, PA",0042246050,NC,Y,PQRS_GRP_156_1,Oncology: Radiation Dose Limits to Normal Tissues,N,75,,REG,Y
"RADIATION THERAPY ASSOCIATES OF WESTERN NORTH CAROLINA, PA",0042246050,NC,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,74,,REG,Y
"RADIATION THERAPY ASSOCIATES OF WESTERN NORTH CAROLINA, PA",0042246050,NC,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,80,,REG,Y
"RADIATION THERAPY ASSOCIATES OF WESTERN NORTH CAROLINA, PA",0042246050,NC,Y,PQRS_GRP_71_1,Breast Cancer: Hormonal Therapy for Stage IC -IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,N,87,,REG,Y
"NEUROSURGICAL ASSOCIATES OF CENTRAL NEW YORK, LLP",0042271520,NY,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,90,,REG,Y
"NEUROSURGICAL ASSOCIATES OF CENTRAL NEW YORK, LLP",0042271520,NY,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
VITTORIO M MORREALE MD PLC,0042273864,MI,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,1,,REG,Y
VITTORIO M MORREALE MD PLC,0042273864,MI,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,2,,REG,Y
VITTORIO M MORREALE MD PLC,0042273864,MI,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,3,,REG,Y
VITTORIO M MORREALE MD PLC,0042273864,MI,Y,PQRS_GRP_238_1,Use of High-Risk Medications in the Elderly*,Y,6,,REG,N
VITTORIO M MORREALE MD PLC,0042273864,MI,Y,PQRS_GRP_238_2,Use of High-Risk Medications in the Elderly*,Y,2,,REG,Y
VITTORIO M MORREALE MD PLC,0042273864,MI,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,13,,REG,Y
NEWTON WELLESLEY ORTHOPEDIC ASSOCIATES INC,0042287591,MA,,PQRS_GRP_109_1,Osteoarthritis (OA): Function and Pain Assessment,N,76,,REG,Y
NEWTON WELLESLEY ORTHOPEDIC ASSOCIATES INC,0042287591,MA,,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF NORTHWEST FLORIDA PA,0042287872,FL,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
DERMATOLOGY ASSOCIATES OF NORTHWEST FLORIDA PA,0042287872,FL,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,100,,REG,Y
"MILLER ALLERGY, INC",0042293177,OH,,PQRS_GRP_53_1,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,79,,REG,N
"MILLER ALLERGY, INC",0042293177,OH,,PQRS_GRP_53_3,Asthma: Pharmacologic Therapy for Persistent Asthma - Ambulatory Care Setting,N,79,,REG,Y
SOUTHEASTERN PHYSICIAN SERVICES PC,0042307852,KY,Y,PQRS_GRP_32_1,Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N,91,,REG,Y
SOUTHEASTERN PHYSICIAN SERVICES PC,0042307852,KY,Y,PQRS_GRP_33_1,Stroke and Stroke Rehabilitation: Anticoagulant Therapy Prescribed for Atrial Fibrillation (AF) at Discharge,N,91,,REG,Y
SOUTHEASTERN PHYSICIAN SERVICES PC,0042307852,KY,Y,PQRS_GRP_47_1,Care Plan,N,95,,REG,Y
SOUTHEASTERN PHYSICIAN SERVICES PC,0042307852,KY,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,88,,REG,Y
"WASATCH PHYSICAL THERAPY AND REHABILITATION, INC",0042349896,UT,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
"WASATCH PHYSICAL THERAPY AND REHABILITATION, INC",0042349896,UT,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,Y,PQRS_GRP_145_1,Radiology: Exposure Time Reported for Procedures Using Fluoroscopy,N,78,,REG,Y
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,Y,PQRS_GRP_146_1,Radiology: Inappropriate Use of Probably Benign Assessment Category in Mammography Screening*,Y,0,,REG,Y
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,59,,REG,Y
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,99,,REG,Y
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,,REG,Y
SOUTH GEORGIA RADIOLOGY ASSOCIATES LLC,0042389231,GA,Y,PQRS_GRP_324_1,"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",Y,1,,REG,N
BARNABAS HEALTH MULTISPECIALTY,0042441891,NJ,Y,PQRS_GRP_185_1,Colonoscopy Interval for Patients with a History of Adenomatous Polyps  Avoidance of Inappropriate Use,N,98,,REG,Y
BARNABAS HEALTH MULTISPECIALTY,0042441891,NJ,Y,PQRS_GRP_320_1,Appropriate Follow-Up Interval for Normal Colonoscopy in Average Risk Patients,N,53,,REG,Y
OLIVER STREET 5.01(A) INC.,0042464125,TX,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,75,,REG,Y
OLIVER STREET 5.01(A) INC.,0042464125,TX,Y,PQRS_GRP_138_1,Melanoma: Coordination of Care,N,15,,REG,Y
OLIVER STREET 5.01(A) INC.,0042464125,TX,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
OLIVER STREET 5.01(A) INC.,0042464125,TX,Y,PQRS_GRP_265_1,Biopsy Follow-Up,N,62,,REG,Y
OLIVER STREET 5.01(A) INC.,0042464125,TX,Y,PQRS_GRP_397_1,Melanoma Reporting,N,23,,REG,Y
PLYMOUTH REGIONAL REHABILITATION SERVICES LLC,0042490054,NH,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,97,,REG,Y
PLYMOUTH REGIONAL REHABILITATION SERVICES LLC,0042490054,NH,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
SKIN GROUP PLLC,0143114017,KY,Y,PQRS_GRP_137_1,Melanoma: Continuity of Care  Recall System,N,100,,REG,Y
SKIN GROUP PLLC,0143114017,KY,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,67,,REG,Y
SKIN GROUP PLLC,0143114017,KY,Y,PQRS_GRP_224_1,Melanoma: Overutilization of Imaging Studies in Melanoma,N,100,,REG,N
BELMONT COMMUNITY HOSPITAL INC,0143114975,OH,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,86,,REG,Y
GOOD SAMARITAN HEALTH CENTER OF MERRILL WI INC,0143117556,WI,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,91,,REG,Y
GOOD SAMARITAN HEALTH CENTER OF MERRILL WI INC,0143117556,WI,Y,PQRS_GRP_39_1,Screening or Therapy for Osteoporosis for Women Aged 65 Years and Older,N,68,,REG,Y
WESTERN ORTHOPEDICS AND SPORTS,0143119123,CO,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
WESTERN ORTHOPEDICS AND SPORTS,0143119123,CO,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,100,,REG,Y
WESTERN ORTHOPEDICS AND SPORTS,0143119123,CO,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
CEDAR POINT HEALTH LLC,0143119586,CO,Y,PQRS_GRP_52_1,Chronic Obstructive Pulmonary Disease (COPD): Inhaled Bronchodilator Therapy,N,100,,REG,Y
CEDAR POINT HEALTH LLC,0143119586,CO,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,100,,REG,Y
BOICE-WILLIS CLINIC PA,0143122382,NC,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,89,,REG,Y
BOICE-WILLIS CLINIC PA,0143122382,NC,Y,PQRS_GRP_46_2,Medication Reconciliation,N,100,,REG,Y
REGENTS OF THE UNIVERSITY OF CALIF,0143128009,CA,Y,PQRS_GRP_47_1,Care Plan,N,59,,REG,Y
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,Y,PQRS_GRP_146_1,Radiology: Inappropriate Use of Probably Benign Assessment Category in Mammography Screening*,Y,16,,REG,Y
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,87,,REG,Y
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,83,,REG,Y
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,93,,REG,Y
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,Y,PQRS_GRP_324_1,"Cardiac Stress Imaging Not Meeting Appropriate Use Criteria: Testing in Asymptomatic, Low-Risk Patients",Y,0,,REG,N
"DIVERSIFIED RADIOLOGY OF COLORADO, P.C.",0143132316,CO,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,76,,REG,Y
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,75,,REG,Y
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,Y,PQRS_GRP_146_1,Radiology: Inappropriate Use of Probably Benign Assessment Category in Mammography Screening*,Y,0,,REG,Y
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,Y,PQRS_GRP_147_1,Nuclear Medicine: Correlation with Existing Imaging Studies for All Patients Undergoing Bone Scintigraphy,N,75,,REG,Y
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,Y,PQRS_GRP_195_1,Radiology: Stenosis Measurement in Carotid Imaging Reports,N,85,,REG,Y
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,Y,PQRS_GRP_225_1,Radiology: Reminder System for Screening Mammograms,N,100,,REG,Y
SAN DIEGO DIAGNOSTIC RADIOLOGY MEDICAL GROUP INC,0143134353,CA,Y,PQRS_GRP_76_1,Prevention of Central Venous Catheter (CVC)-Related Bloodstream Infections,N,77,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,77,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,78,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_144_1,Oncology: Medical and Radiation  Plan of Care for Pain,N,100,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,66,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_194_1,Oncology: Cancer Stage Documented,N,100,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_47_1,Care Plan,N,82,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_71_1,Breast Cancer: Hormonal Therapy for Stage IC -IIIC Estrogen Receptor/Progesterone Receptor (ER/PR) Positive Breast Cancer,N,92,,REG,Y
MEMORIAL SLOAN KETTERING CANCER CENTER AT BASKING RIDGE NEW JERSEY,0143229534,NJ,Y,PQRS_GRP_72_1,Colon Cancer: Chemotherapy for AJCC Stage III Colon Cancer Patients,N,100,,REG,Y
ALVAREZ AND ORTHOPAEDIC ASSOCIATES,0143243873,MD,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,63,,REG,Y
ALVAREZ AND ORTHOPAEDIC ASSOCIATES,0143243873,MD,Y,PQRS_GRP_155_1,Falls: Plan of Care,N,90,,REG,Y
ALVAREZ AND ORTHOPAEDIC ASSOCIATES,0143243873,MD,Y,PQRS_GRP_163_1,Diabetes: Foot Exam,N,62,,REG,Y
ALVAREZ AND ORTHOPAEDIC ASSOCIATES,0143243873,MD,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,99,,REG,Y
ALVAREZ AND ORTHOPAEDIC ASSOCIATES,0143243873,MD,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,92,,REG,Y
ADVANCE OCCUPATIONAL AND HAND THERAPY CENTER,0143251579,CA,Y,PQRS_GRP_131_1,Pain Assessment and Follow-Up,N,100,,REG,Y
ADVANCE OCCUPATIONAL AND HAND THERAPY CENTER,0143251579,CA,Y,PQRS_GRP_154_1,Falls: Risk Assessment,N,98,,REG,Y
ADVANCE OCCUPATIONAL AND HAND THERAPY CENTER,0143251579,CA,Y,PQRS_GRP_173_1,Preventive Care and Screening: Unhealthy Alcohol Use  Screening,N,97,,REG,Y
ADVANCE OCCUPATIONAL AND HAND THERAPY CENTER,0143251579,CA,Y,PQRS_GRP_181_1,Elder Maltreatment Screen and Follow-Up Plan,N,100,,REG,Y
ADVANCE OCCUPATIONAL AND HAND THERAPY CENTER,0143251579,CA,Y,PQRS_GRP_182_1,Functional Outcome Assessment,N,100,,REG,Y
MIDMICHIGAN MEDICAL CENTER GLADWIN,0143262915,MI,Y,PQRS_GRP_119_1,Diabetes: Medical Attention for Nephropathy,N,100,,REG,Y
MIDMICHIGAN MEDICAL CENTER GLADWIN,0143262915,MI,Y,PQRS_GRP_6_1,Coronary Artery Disease (CAD): Antiplatelet Therapy,N,100,,REG,Y
